Product Name,Price,Product Link,Image Link
"Nothing Phone 2 5G (12GB RAM, 512GB, White)","₹37,999",https://www.croma.com/nothing-phone-2-5g-12gb-ram-512gb-white-/p/301921,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708677678/Croma%20Assets/Communication/Mobiles/Images/301921_0_div37x.png?tr=w-400
"Nothing Phone 2 5G (12GB RAM, 512GB, Dark Grey)","₹37,999",https://www.croma.com/nothing-phone-2-5g-12gb-ram-512gb-dark-grey-/p/301919,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708679121/Croma%20Assets/Communication/Mobiles/Images/301919_0_xfzyqz.png?tr=w-400
"OnePlus 11R 5G (8GB RAM, 128GB, Galactic Silver)","₹29,999",https://www.croma.com/oneplus-11r-5g-8gb-ram-128gb-galactic-silver-/p/269146,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708678549/Croma%20Assets/Communication/Mobiles/Images/269146_0_nt6lfe.png?tr=w-400
"realme 11 5G (8GB RAM, 256GB, Glory Gold)","₹16,994",https://www.croma.com/realme-11-5g-8gb-ram-256gb-glory-gold-/p/300113,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708670066/Croma%20Assets/Communication/Mobiles/Images/300113_0_hmjq7x.png?tr=w-400
"OnePlus 11R 5G (16GB RAM, 256GB, Sonic Black)","₹32,999",https://www.croma.com/oneplus-11r-5g-16gb-ram-256gb-sonic-black-/p/269147,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708678509/Croma%20Assets/Communication/Mobiles/Images/269147_0_cbzg4k.png?tr=w-400
"SAMSUNG Galaxy S23 Ultra 5G (12GB RAM, 256GB, Phantom Black)","₹1,09,990",https://www.croma.com/samsung-galaxy-s23-ultra-5g-12gb-ram-256gb-phantom-black-/p/275155,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1709103161/Croma%20Assets/Communication/Mobiles/Images/275155_z2t6g2.png?tr=w-400
"Nothing CMF Phone 1 5G (6GB RAM, 128GB, Black)","₹14,999",https://www.croma.com/nothing-cmf-phone-1-5g-6gb-ram-128gb-black-/p/308330,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1720681155/308330_0_li240c.png?tr=w-400
"Nothing Phone 2a 5G (8GB RAM, 256GB, White)","₹25,999",https://www.croma.com/nothing-phone-2a-5g-8gb-ram-256gb-white-/p/305351,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1710251216/Croma%20Assets/Communication/Mobiles/Images/305351_0_uzmhao.png?tr=w-400
"vivo Y28e 5G (4GB RAM, 64GB, Vintage Red)","₹10,999",https://www.croma.com/vivo-y28e-5g-4gb-ram-64gb-vintage-red-/p/307890,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721222160/Croma%20Assets/Communication/Mobiles/Images/307890_0_grtbj8.png?tr=w-400
"OnePlus Nord CE4 Lite 5G (8GB RAM, 256GB, Mega Blue)","₹22,999",https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-256gb-mega-blue-/p/307505,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1719316048/Croma%20Assets/Communication/Mobiles/Images/307505_0_tqvevo.png?tr=w-400
"vivo Y28e 5G (4GB RAM, 128GB, Vintage Red)","₹11,999",https://www.croma.com/vivo-y28e-5g-4gb-ram-128gb-vintage-red-/p/307888,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721221909/Croma%20Assets/Communication/Mobiles/Images/307888_0_lf86re.png?tr=w-400
"OnePlus Nord CE4 Lite 5G (8GB RAM, 256GB, Super Silver)","₹22,999",https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-256gb-super-silver-/p/307504,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1719316070/Croma%20Assets/Communication/Mobiles/Images/307504_0_yfhhdc.png?tr=w-400
"vivo T3 Lite 5G (6GB RAM, 128GB, Majestic Black)","₹11,499",https://www.croma.com/vivo-t3-lite-5g-6gb-ram-128gb-majestic-black-/p/307901,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1719499910/Croma%20Assets/Communication/Mobiles/Images/307901_0_uuvjgf.png?tr=w-400
"vivo Y28s 5G (4GB RAM, 128GB, Vintage Red)","₹13,999",https://www.croma.com/vivo-y28s-5g-4gb-ram-128gb-vintage-red-/p/307892,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721220070/Croma%20Assets/Communication/Mobiles/Images/307892_0_nhchdk.png?tr=w-400
"vivo Y28e 5G (4GB RAM, 64GB, Breeze Green)","₹10,999",https://www.croma.com/vivo-y28e-5g-4gb-ram-64gb-breeze-green-/p/307891,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721222296/Croma%20Assets/Communication/Mobiles/Images/307891_0_ugpj6a.png?tr=w-400
"OnePlus 12R 5G (16GB, 256GB, Iron Grey)","₹40,999",https://www.croma.com/oneplus-12r-5g-16gb-256gb-iron-grey-/p/304698,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1706790940/Croma%20Assets/Communication/Mobiles/Images/304698_hagerl.png?tr=w-400
"Google Pixel 9 5G (12GB RAM, 256GB, Obsidian)","₹79,999",https://www.croma.com/google-pixel-9-5g-12gb-ram-256gb-obsidian-/p/309168,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1723573808/Croma%20Assets/Communication/Mobiles/Images/309168_0_yqdzbk.png?tr=w-400
"oppo K12x 5G (6GB RAM, 128GB, Breeze Blue)","₹12,999",https://www.croma.com/oppo-k12x-5g-6gb-ram-128gb-breeze-blue-/p/308829,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1722585833/Croma%20Assets/Communication/Mobiles/Images/308829_0_y69y48.png?tr=w-400
"vivo Y28s 5G (4GB RAM, 128GB, Twinkling Purple)","₹13,999",https://www.croma.com/vivo-y28s-5g-4gb-ram-128gb-twinkling-purple-/p/307893,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721220095/Croma%20Assets/Communication/Mobiles/Images/307893_0_cmlmew.png?tr=w-400
"OnePlus Nord CE4 5G (8GB RAM, 256GB, Chrome)","₹25,499",https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-256gb-chrome-/p/305871,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1711971137/Croma%20Assets/Communication/Mobiles/Images/305871_0_fprr3t.png?tr=w-400
"OnePlus Nord CE4 5G (8GB RAM, 256GB, Marble)","₹25,499",https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-256gb-marble-/p/305872,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1711971138/Croma%20Assets/Communication/Mobiles/Images/305872_0_vnc952.png?tr=w-400
